,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,U,B,V,G,R,I,J,H,K,pmra,plx_value,pmdec,sp_type,rvz_radvel,user_specified_id,CalType
0,TYC 4433-1800-1,272.14473336619994,69.45797830973,0.0165,0.0159,90,O,2020yCat.1350....0G,,12.180000305175781,11.6899995803833,12.04010009765625,,,11.652000427246094,11.595999717712402,11.531999588012695,4.501,1.0568,8.391,A3V,5.68429,2MASS J18083474+6927286,DimAbsFlux
1,TYC 4205-1677-1,273.03986391387,63.495072768300005,0.0149,0.0134,90,O,2020yCat.1350....0G,,11.9399995803833,12.010000228881836,11.71660041809082,,,11.368000030517578,11.312000274658203,11.28600025177002,4.002,0.8611,1.096,A3V,15.6859,2MASS J18120957+6329423,DimAbsFlux
2,TYC 4212-455-1,269.30513416221993,67.06132133258,0.0322,0.0345,90,O,2020yCat.1350....0G,,11.90999984741211,12.010000228881836,11.766900062561035,,,11.310999870300293,11.218999862670898,11.154999732971191,0.841,0.9482,-12.945,A3V,,2MASS J17571324+6703409,DimAbsFlux
3,TYC 4209-1396-1,271.37198229269995,64.46447747325,0.022,0.021,90,O,2020yCat.1350....0G,,12.539999961853027,12.739999771118164,12.286999702453613,,,12.038999557495117,12.031000137329102,12.005000114440918,-1.748,0.6742,10.558,A4V,,2MASS J18052927+6427520,DimAbsFlux
4,TYC 4413-304-1,222.99158139954997,71.7214980332,0.0127,0.0109,90,O,2020yCat.1350....0G,12.75100040435791,12.84000015258789,12.15999984741211,11.870699882507324,12.050000190734863,11.312999725341797,10.86400032043457,10.592000007629395,10.526000022888184,-49.288,3.3029,19.614,G0,-22.08,2MASS J14515797+7143173,DimAbsFlux
5,UCAC3 313-62260,268.8175655558799,66.16989064725,0.0107,0.0089,90,O,2020yCat.1350....0G,,14.390000343322754,13.180000305175781,13.045000076293945,13.0,,11.585000038146973,11.09000015258789,10.987000465393066,2.163,0.7435,-6.368,K0.5III,-49.407101,2MASS J17551622+6610116,DimAbsFlux
6,BPS BS 17447-0067,270.61320205549123,60.72655289178473,0.0194,0.0203,90,O,2020yCat.1350....0G,,12.017000198364258,11.994999885559082,11.995800018310547,12.119999885559082,,11.871999740600586,11.850000381469727,11.831999778747559,2.82,0.6355,-2.238,A2V,1.98,2MASS J18022716+6043356,DimAbsFlux
7,TYC 4424-1286-1,263.21929115703,71.07864486344,0.0168,0.0203,90,O,2020yCat.1350....0G,,12.75,12.210000038146973,12.515299797058105,,,12.288999557495117,12.255000114440918,12.253999710083008,0.379,0.8364,-2.757,A4V,,2MASS J17325264+7104431,DimAbsFlux
8,GSC 02581-02323,247.89088493190997,30.146221495090003,0.0076,0.01,90,O,2020yCat.1350....0G,13.576000213623047,12.972000122070312,12.916999816894531,12.850000381469727,12.564000129699707,12.211999893188477,11.769000053405762,11.454000473022461,11.378999710083008,-8.882,2.2149,-38.705,G2V,-52.55,2MASS J16313382+3008465,DimAbsFlux
9,TYC 4207-219-1,265.14449456972,65.45410607359,0.0201,0.0208,90,O,2020yCat.1350....0G,,12.949999809265137,12.119999885559082,12.460800170898438,,,12.079000473022461,12.022000312805176,11.996000289916992,-5.476,0.7862,-3.983,A6V,,2MASS J17403468+6527148,DimAbsFlux
10,* 109 Vir,221.5621810306004,1.8928838280086113,0.2202,0.173,90,O,2020yCat.1350....0G,3.690000057220459,3.7200000286102295,3.7300000190734863,3.728379964828491,3.6600000858306885,3.680000066757202,3.683000087738037,3.628000020980835,3.6459999084472656,-115.08,24.2814,-20.464,A0IIInn,-13.05,* 109 Vir  ,BriAbsFlux
11,* alf Lyr,279.234734787025,38.783688956244,3.51118,2.81205,90,O,2007A&A...474..653V,0.029999999329447746,0.029999999329447746,0.029999999329447746,,0.07000000029802322,0.10000000149011612,-0.1770000010728836,-0.028999999165534973,0.1289999932050705,200.94,130.23,286.23,A0Va,-13.5,* alf Lyr  ,BriAbsFlux
12,* eta UMa,206.88515734206297,49.31326672942533,1.4995854,1.3199456,89,O,2007A&A...474..653V,0.9900000095367432,1.6699999570846558,1.8600000143051147,1.881019949913025,1.9800000190734863,2.1600000858306885,2.2279999256134033,2.4079999923706055,2.265000104904175,-121.17,31.38,-14.91,B3V,-13.4,* eta UMa  ,BriAbsFlux
13,* ksi02 Cet,37.0398210789746,8.4600602248073,0.3823,0.3975,90,O,2018yCat.1345....0G,4.139999866485596,4.25,4.300000190734863,4.255360126495361,4.289999961853027,4.340000152587891,4.380000114440918,4.380000114440918,4.392000198364258,23.707,16.5681,-4.787,B9III,13.27,* ksi02 Cet,BriAbsFlux
